,parameter,value,error
0,constant,47.10739311743236,3.1633468493849857
1,A,2656.2477484481983,21.24329619997976
2,rho,0.14329606730861935,1.2254161145996392
3,tau_neg,2.0164544809166487,0.19392061151556733
